Metric,Value
Line Chart Average,0.00

Right Leg Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Left Leg Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Head Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00

Right Hand Box Plot Data Averages
Max Average,0.00
Q3 Average,0.00
Median Average,0.00
Q1 Average,0.00
Min Average,0.00
